,scaffold length (bp),NG (X),Species
82,1401278,83,Dbia.GCF_018148935
83,1374391,84,Dbia.GCF_018148935
84,1160803,85,Dbia.GCF_018148935
85,1127069,86,Dbia.GCF_018148935
86,963115,87,Dbia.GCF_018148935
87,882131,88,Dbia.GCF_018148935
88,802923,89,Dbia.GCF_018148935
89,734361,90,Dbia.GCF_018148935
90,709907,91,Dbia.GCF_018148935
91,586815,92,Dbia.GCF_018148935
92,513281,93,Dbia.GCF_018148935
93,473070,94,Dbia.GCF_018148935
94,389595,95,Dbia.GCF_018148935
95,322931,96,Dbia.GCF_018148935
96,217123,97,Dbia.GCF_018148935
97,115450,98,Dbia.GCF_018148935
98,60480,99,Dbia.GCF_018148935
99,271,100,Dbia.GCF_018148935
0,29722443,1,Dbia.d101g
1,29722443,2,Dbia.d101g
2,29722443,3,Dbia.d101g
3,29722443,4,Dbia.d101g
4,29722443,5,Dbia.d101g
5,29722443,6,Dbia.d101g
6,29722443,7,Dbia.d101g
7,29722443,8,Dbia.d101g
8,29722443,9,Dbia.d101g
9,29722443,10,Dbia.d101g
10,29722443,11,Dbia.d101g
11,29722443,12,Dbia.d101g
12,29722443,13,Dbia.d101g
13,29722443,14,Dbia.d101g
14,29722443,15,Dbia.d101g
15,29722443,16,Dbia.d101g
16,26062673,17,Dbia.d101g
17,26062673,18,Dbia.d101g
18,26062673,19,Dbia.d101g
19,26062673,20,Dbia.d101g
20,26062673,21,Dbia.d101g
21,26062673,22,Dbia.d101g
22,26062673,23,Dbia.d101g
23,26062673,24,Dbia.d101g
24,26062673,25,Dbia.d101g
25,26062673,26,Dbia.d101g
26,26062673,27,Dbia.d101g
27,26062673,28,Dbia.d101g
28,26062673,29,Dbia.d101g
29,26062673,30,Dbia.d101g
30,24655300,31,Dbia.d101g
31,24655300,32,Dbia.d101g
32,24655300,33,Dbia.d101g
33,24655300,34,Dbia.d101g
34,24655300,35,Dbia.d101g
35,24655300,36,Dbia.d101g
36,24655300,37,Dbia.d101g
37,24655300,38,Dbia.d101g
38,24655300,39,Dbia.d101g
39,24655300,40,Dbia.d101g
40,24655300,41,Dbia.d101g
41,24655300,42,Dbia.d101g
42,24655300,43,Dbia.d101g
43,23381765,44,Dbia.d101g
44,23381765,45,Dbia.d101g
45,23381765,46,Dbia.d101g
46,23381765,47,Dbia.d101g
47,23381765,48,Dbia.d101g
48,23381765,49,Dbia.d101g
49,23381765,50,Dbia.d101g
50,23381765,51,Dbia.d101g
51,23381765,52,Dbia.d101g
52,23381765,53,Dbia.d101g
53,23381765,54,Dbia.d101g
54,23381765,55,Dbia.d101g
55,23381765,56,Dbia.d101g
56,20916388,57,Dbia.d101g
57,20916388,58,Dbia.d101g
58,20916388,59,Dbia.d101g
59,20916388,60,Dbia.d101g
60,20916388,61,Dbia.d101g
61,20916388,62,Dbia.d101g
62,20916388,63,Dbia.d101g
63,20916388,64,Dbia.d101g
64,20916388,65,Dbia.d101g
65,20916388,66,Dbia.d101g
66,20916388,67,Dbia.d101g
67,4490089,68,Dbia.d101g
68,4490089,69,Dbia.d101g
69,2751594,70,Dbia.d101g
70,2751594,71,Dbia.d101g
71,2426037,72,Dbia.d101g
72,2197481,73,Dbia.d101g
73,2150736,74,Dbia.d101g
74,1925543,75,Dbia.d101g
75,1696273,76,Dbia.d101g
76,1684867,77,Dbia.d101g
77,1664325,78,Dbia.d101g
78,1629159,79,Dbia.d101g
79,1599212,80,Dbia.d101g
80,1554675,81,Dbia.d101g
81,1429091,82,Dbia.d101g
82,1401278,83,Dbia.d101g
83,1374391,84,Dbia.d101g
84,1160803,85,Dbia.d101g
85,1127069,86,Dbia.d101g
86,963115,87,Dbia.d101g
87,882131,88,Dbia.d101g
88,802923,89,Dbia.d101g
89,734361,90,Dbia.d101g
90,709907,91,Dbia.d101g
91,586815,92,Dbia.d101g
92,513281,93,Dbia.d101g
93,473070,94,Dbia.d101g
94,389595,95,Dbia.d101g
95,322931,96,Dbia.d101g
96,217123,97,Dbia.d101g
97,115450,98,Dbia.d101g
98,60480,99,Dbia.d101g
99,271,100,Dbia.d101g
0,11066131,1,Dbia.d15genomes
1,11066131,2,Dbia.d15genomes
2,11066131,3,Dbia.d15genomes
3,11066131,4,Dbia.d15genomes
4,11066131,5,Dbia.d15genomes
5,11066131,6,Dbia.d15genomes
6,9336223,7,Dbia.d15genomes
7,9336223,8,Dbia.d15genomes
8,9336223,9,Dbia.d15genomes
9,9336223,10,Dbia.d15genomes
10,9336223,11,Dbia.d15genomes
11,9113526,12,Dbia.d15genomes
12,9113526,13,Dbia.d15genomes
13,9113526,14,Dbia.d15genomes
14,9113526,15,Dbia.d15genomes
15,9113526,16,Dbia.d15genomes
16,7486762,17,Dbia.d15genomes
17,7486762,18,Dbia.d15genomes
18,7486762,19,Dbia.d15genomes
19,7486762,20,Dbia.d15genomes
20,6933438,21,Dbia.d15genomes
21,6933438,22,Dbia.d15genomes
22,6933438,23,Dbia.d15genomes
23,6933438,24,Dbia.d15genomes
24,5586826,25,Dbia.d15genomes
25,5586826,26,Dbia.d15genomes
26,5586826,27,Dbia.d15genomes
27,5451191,28,Dbia.d15genomes
28,5451191,29,Dbia.d15genomes
29,5451191,30,Dbia.d15genomes
30,5265839,31,Dbia.d15genomes
31,5265839,32,Dbia.d15genomes
32,5265839,33,Dbia.d15genomes
33,5152764,34,Dbia.d15genomes
34,5152764,35,Dbia.d15genomes
35,4885322,36,Dbia.d15genomes
36,4885322,37,Dbia.d15genomes
37,4885322,38,Dbia.d15genomes
38,4073338,39,Dbia.d15genomes
39,4073338,40,Dbia.d15genomes
40,3770013,41,Dbia.d15genomes
41,3770013,42,Dbia.d15genomes
42,3710175,43,Dbia.d15genomes
43,3710175,44,Dbia.d15genomes
44,3097763,45,Dbia.d15genomes
45,3097763,46,Dbia.d15genomes
46,2999426,47,Dbia.d15genomes
47,2999426,48,Dbia.d15genomes
48,2862774,49,Dbia.d15genomes
49,2791184,50,Dbia.d15genomes
50,2791184,51,Dbia.d15genomes
51,2219554,52,Dbia.d15genomes
52,2195045,53,Dbia.d15genomes
53,2100248,54,Dbia.d15genomes
54,1858872,55,Dbia.d15genomes
55,1687507,56,Dbia.d15genomes
56,1620786,57,Dbia.d15genomes
57,1599193,58,Dbia.d15genomes
58,1583728,59,Dbia.d15genomes
59,1550964,60,Dbia.d15genomes
60,1462273,61,Dbia.d15genomes
61,1081691,62,Dbia.d15genomes
62,1048371,63,Dbia.d15genomes
63,976227,64,Dbia.d15genomes
64,975030,65,Dbia.d15genomes
65,910034,66,Dbia.d15genomes
66,796204,67,Dbia.d15genomes
67,737164,68,Dbia.d15genomes
68,612409,69,Dbia.d15genomes
69,566591,70,Dbia.d15genomes
70,532471,71,Dbia.d15genomes
71,516153,72,Dbia.d15genomes
72,481908,73,Dbia.d15genomes
73,433340,74,Dbia.d15genomes
74,408818,75,Dbia.d15genomes
75,384547,76,Dbia.d15genomes
76,348867,77,Dbia.d15genomes
77,320646,78,Dbia.d15genomes
78,296822,79,Dbia.d15genomes
79,278856,80,Dbia.d15genomes
80,261323,81,Dbia.d15genomes
81,249509,82,Dbia.d15genomes
82,229645,83,Dbia.d15genomes
83,207293,84,Dbia.d15genomes
84,186535,85,Dbia.d15genomes
85,176889,86,Dbia.d15genomes
86,156210,87,Dbia.d15genomes
87,138044,88,Dbia.d15genomes
88,129577,89,Dbia.d15genomes
89,120010,90,Dbia.d15genomes
90,105356,91,Dbia.d15genomes
91,95721,92,Dbia.d15genomes
92,83562,93,Dbia.d15genomes
93,69870,94,Dbia.d15genomes
94,55547,95,Dbia.d15genomes
95,44044,96,Dbia.d15genomes
96,35460,97,Dbia.d15genomes
97,28009,98,Dbia.d15genomes
98,22322,99,Dbia.d15genomes
99,623,100,Dbia.d15genomes
0,28426653,1,Dere.GCF_003286155
1,28426653,2,Dere.GCF_003286155
2,28426653,3,Dere.GCF_003286155
3,28426653,4,Dere.GCF_003286155
4,28426653,5,Dere.GCF_003286155
5,28426653,6,Dere.GCF_003286155
6,28426653,7,Dere.GCF_003286155
7,28426653,8,Dere.GCF_003286155
8,28426653,9,Dere.GCF_003286155
9,28426653,10,Dere.GCF_003286155
10,28426653,11,Dere.GCF_003286155
11,28426653,12,Dere.GCF_003286155
12,28426653,13,Dere.GCF_003286155
13,28426653,14,Dere.GCF_003286155
14,28426653,15,Dere.GCF_003286155
15,28426653,16,Dere.GCF_003286155
16,28426653,17,Dere.GCF_003286155
17,28426653,18,Dere.GCF_003286155
18,28426653,19,Dere.GCF_003286155
19,26197553,20,Dere.GCF_003286155
20,26197553,21,Dere.GCF_003286155
21,26197553,22,Dere.GCF_003286155
22,26197553,23,Dere.GCF_003286155
23,26197553,24,Dere.GCF_003286155
24,26197553,25,Dere.GCF_003286155
25,26197553,26,Dere.GCF_003286155
26,26197553,27,Dere.GCF_003286155
27,26197553,28,Dere.GCF_003286155
28,26197553,29,Dere.GCF_003286155
29,26197553,30,Dere.GCF_003286155
30,26197553,31,Dere.GCF_003286155
31,26197553,32,Dere.GCF_003286155
32,26197553,33,Dere.GCF_003286155
33,26197553,34,Dere.GCF_003286155
34,26197553,35,Dere.GCF_003286155
35,26197553,36,Dere.GCF_003286155
36,26197553,37,Dere.GCF_003286155
37,22146549,38,Dere.GCF_003286155
38,22146549,39,Dere.GCF_003286155
39,22146549,40,Dere.GCF_003286155
40,22146549,41,Dere.GCF_003286155
41,22146549,42,Dere.GCF_003286155
42,22146549,43,Dere.GCF_003286155
43,22146549,44,Dere.GCF_003286155
44,22146549,45,Dere.GCF_003286155
45,22146549,46,Dere.GCF_003286155
46,22146549,47,Dere.GCF_003286155
47,22146549,48,Dere.GCF_003286155
48,22146549,49,Dere.GCF_003286155
49,22146549,50,Dere.GCF_003286155
50,22146549,51,Dere.GCF_003286155
51,22146549,52,Dere.GCF_003286155
52,19792317,53,Dere.GCF_003286155
53,19792317,54,Dere.GCF_003286155
54,19792317,55,Dere.GCF_003286155
55,19792317,56,Dere.GCF_003286155
56,19792317,57,Dere.GCF_003286155
57,19792317,58,Dere.GCF_003286155
58,19792317,59,Dere.GCF_003286155
59,19792317,60,Dere.GCF_003286155
60,19792317,61,Dere.GCF_003286155
61,19792317,62,Dere.GCF_003286155
62,19792317,63,Dere.GCF_003286155
63,19792317,64,Dere.GCF_003286155
64,19792317,65,Dere.GCF_003286155
65,16326836,66,Dere.GCF_003286155
66,16326836,67,Dere.GCF_003286155
67,16326836,68,Dere.GCF_003286155
68,16326836,69,Dere.GCF_003286155
69,16326836,70,Dere.GCF_003286155
70,16326836,71,Dere.GCF_003286155
71,16326836,72,Dere.GCF_003286155
72,16326836,73,Dere.GCF_003286155
73,16326836,74,Dere.GCF_003286155
74,16326836,75,Dere.GCF_003286155
75,16326836,76,Dere.GCF_003286155
76,16326836,77,Dere.GCF_003286155
77,3516394,78,Dere.GCF_003286155
78,3516394,79,Dere.GCF_003286155
79,2102742,80,Dere.GCF_003286155
80,1987544,81,Dere.GCF_003286155
81,1987544,82,Dere.GCF_003286155
82,1616461,83,Dere.GCF_003286155
83,1574963,84,Dere.GCF_003286155
84,1410470,85,Dere.GCF_003286155
85,1306828,86,Dere.GCF_003286155
86,1254879,87,Dere.GCF_003286155
87,1120910,88,Dere.GCF_003286155
88,945316,89,Dere.GCF_003286155
89,778323,90,Dere.GCF_003286155
90,594837,91,Dere.GCF_003286155
91,565909,92,Dere.GCF_003286155
92,511190,93,Dere.GCF_003286155
93,373239,94,Dere.GCF_003286155
94,303294,95,Dere.GCF_003286155
95,256293,96,Dere.GCF_003286155
96,212021,97,Dere.GCF_003286155
97,126474,98,Dere.GCF_003286155
98,72398,99,Dere.GCF_003286155
99,43186,100,Dere.GCF_003286155
0,29209457,1,Dere.d101g
1,29209457,2,Dere.d101g
2,29209457,3,Dere.d101g
3,29209457,4,Dere.d101g
4,29209457,5,Dere.d101g
5,29209457,6,Dere.d101g
6,29209457,7,Dere.d101g
7,29209457,8,Dere.d101g
8,29209457,9,Dere.d101g
9,29209457,10,Dere.d101g
10,29209457,11,Dere.d101g
11,29209457,12,Dere.d101g
12,29209457,13,Dere.d101g
13,29209457,14,Dere.d101g
14,29209457,15,Dere.d101g
15,29209457,16,Dere.d101g
16,29209457,17,Dere.d101g
17,29209457,18,Dere.d101g
18,29209457,19,Dere.d101g
19,29209457,20,Dere.d101g
20,29209457,21,Dere.d101g
21,23990342,22,Dere.d101g
22,23990342,23,Dere.d101g
23,23990342,24,Dere.d101g
24,23990342,25,Dere.d101g
25,23990342,26,Dere.d101g
26,23990342,27,Dere.d101g
27,23990342,28,Dere.d101g
28,23990342,29,Dere.d101g
29,23990342,30,Dere.d101g
30,23990342,31,Dere.d101g
31,23990342,32,Dere.d101g
32,23990342,33,Dere.d101g
33,23990342,34,Dere.d101g
34,23990342,35,Dere.d101g
35,23990342,36,Dere.d101g
36,23990342,37,Dere.d101g
37,23990342,38,Dere.d101g
38,23990342,39,Dere.d101g
39,20389455,40,Dere.d101g
40,20389455,41,Dere.d101g
41,20389455,42,Dere.d101g
42,20389455,43,Dere.d101g
43,20389455,44,Dere.d101g
44,20389455,45,Dere.d101g
45,20389455,46,Dere.d101g
46,20389455,47,Dere.d101g
47,20389455,48,Dere.d101g
48,20389455,49,Dere.d101g
49,20389455,50,Dere.d101g
50,20389455,51,Dere.d101g
51,20389455,52,Dere.d101g
52,20389455,53,Dere.d101g
53,20389455,54,Dere.d101g
54,19827742,55,Dere.d101g
55,19827742,56,Dere.d101g
56,19827742,57,Dere.d101g
57,19827742,58,Dere.d101g
58,19827742,59,Dere.d101g
59,19827742,60,Dere.d101g
60,19827742,61,Dere.d101g
61,19827742,62,Dere.d101g
62,19827742,63,Dere.d101g
63,19827742,64,Dere.d101g
64,19827742,65,Dere.d101g
65,19827742,66,Dere.d101g
66,19827742,67,Dere.d101g
67,19827742,68,Dere.d101g
68,11810425,69,Dere.d101g
69,11810425,70,Dere.d101g
70,11810425,71,Dere.d101g
71,11810425,72,Dere.d101g
72,11810425,73,Dere.d101g
73,11810425,74,Dere.d101g
74,11810425,75,Dere.d101g
75,11810425,76,Dere.d101g
76,11810425,77,Dere.d101g
77,5538226,78,Dere.d101g
78,5538226,79,Dere.d101g
79,5538226,80,Dere.d101g
80,5538226,81,Dere.d101g
81,3139990,82,Dere.d101g
82,3139990,83,Dere.d101g
83,2053744,84,Dere.d101g
84,2053744,85,Dere.d101g
85,1971363,86,Dere.d101g
86,1920024,87,Dere.d101g
87,1920024,88,Dere.d101g
88,1721256,89,Dere.d101g
89,1422045,90,Dere.d101g
90,1285433,91,Dere.d101g
91,897989,92,Dere.d101g
92,679937,93,Dere.d101g
93,510113,94,Dere.d101g
94,155672,95,Dere.d101g
95,72224,96,Dere.d101g
96,56297,97,Dere.d101g
97,35880,98,Dere.d101g
98,17165,99,Dere.d101g
99,204,100,Dere.d101g
0,26647023,1,Dere.droEre1
1,26647023,2,Dere.droEre1
2,26647023,3,Dere.droEre1
3,26647023,4,Dere.droEre1
4,26647023,5,Dere.droEre1
5,26647023,6,Dere.droEre1
6,26647023,7,Dere.droEre1
7,26647023,8,Dere.droEre1
8,26647023,9,Dere.droEre1
9,26647023,10,Dere.droEre1
10,26647023,11,Dere.droEre1
11,26647023,12,Dere.droEre1
12,26647023,13,Dere.droEre1
13,26647023,14,Dere.droEre1
14,26647023,15,Dere.droEre1
15,26647023,16,Dere.droEre1
16,26647023,17,Dere.droEre1
17,25765328,18,Dere.droEre1
18,25765328,19,Dere.droEre1
19,25765328,20,Dere.droEre1
20,25765328,21,Dere.droEre1
21,25765328,22,Dere.droEre1
22,25765328,23,Dere.droEre1
23,25765328,24,Dere.droEre1
24,25765328,25,Dere.droEre1
25,25765328,26,Dere.droEre1
26,25765328,27,Dere.droEre1
27,25765328,28,Dere.droEre1
28,25765328,29,Dere.droEre1
29,25765328,30,Dere.droEre1
30,25765328,31,Dere.droEre1
31,25765328,32,Dere.droEre1
32,25765328,33,Dere.droEre1
33,25765328,34,Dere.droEre1
34,22591347,35,Dere.droEre1
35,22591347,36,Dere.droEre1
36,22591347,37,Dere.droEre1
37,22591347,38,Dere.droEre1
38,22591347,39,Dere.droEre1
39,22591347,40,Dere.droEre1
40,22591347,41,Dere.droEre1
41,22591347,42,Dere.droEre1
42,22591347,43,Dere.droEre1
43,22591347,44,Dere.droEre1
44,22591347,45,Dere.droEre1
45,22591347,46,Dere.droEre1
46,22591347,47,Dere.droEre1
47,22591347,48,Dere.droEre1
48,22591347,49,Dere.droEre1
49,18750251,50,Dere.droEre1
50,18750251,51,Dere.droEre1
51,18750251,52,Dere.droEre1
52,18750251,53,Dere.droEre1
53,18750251,54,Dere.droEre1
54,18750251,55,Dere.droEre1
55,18750251,56,Dere.droEre1
56,18750251,57,Dere.droEre1
57,18750251,58,Dere.droEre1
58,18750251,59,Dere.droEre1
59,18750251,60,Dere.droEre1
60,18750251,61,Dere.droEre1
61,17752192,62,Dere.droEre1
62,17752192,63,Dere.droEre1
63,17752192,64,Dere.droEre1
64,17752192,65,Dere.droEre1
65,17752192,66,Dere.droEre1
66,17752192,67,Dere.droEre1
67,17752192,68,Dere.droEre1
68,17752192,69,Dere.droEre1
69,17752192,70,Dere.droEre1
70,17752192,71,Dere.droEre1
71,17752192,72,Dere.droEre1
72,10472214,73,Dere.droEre1
73,10472214,74,Dere.droEre1
74,10472214,75,Dere.droEre1
75,10472214,76,Dere.droEre1
76,10472214,77,Dere.droEre1
77,10472214,78,Dere.droEre1
78,10472214,79,Dere.droEre1
79,2519638,80,Dere.droEre1
80,2519638,81,Dere.droEre1
81,1286839,82,Dere.droEre1
82,213056,83,Dere.droEre1
83,158308,84,Dere.droEre1
84,113131,85,Dere.droEre1
85,87590,86,Dere.droEre1
86,71649,87,Dere.droEre1
87,47740,88,Dere.droEre1
88,43190,89,Dere.droEre1
89,38713,90,Dere.droEre1
90,12972,91,Dere.droEre1
91,9236,92,Dere.droEre1
92,7250,93,Dere.droEre1
93,5938,94,Dere.droEre1
94,4815,95,Dere.droEre1
95,3765,96,Dere.droEre1
96,2739,97,Dere.droEre1
97,1681,98,Dere.droEre1
98,1279,99,Dere.droEre1
99,154,100,Dere.droEre1
0,25477882,1,Dere.d15genomes
1,25477882,2,Dere.d15genomes
2,25477882,3,Dere.d15genomes
3,25477882,4,Dere.d15genomes
4,25477882,5,Dere.d15genomes
5,25477882,6,Dere.d15genomes
6,25477882,7,Dere.d15genomes
7,25477882,8,Dere.d15genomes
8,25477882,9,Dere.d15genomes
9,25477882,10,Dere.d15genomes
10,25477882,11,Dere.d15genomes
11,25477882,12,Dere.d15genomes
12,25477882,13,Dere.d15genomes
13,25477882,14,Dere.d15genomes
14,25477882,15,Dere.d15genomes
15,25477882,16,Dere.d15genomes
16,25477882,17,Dere.d15genomes
17,25477882,18,Dere.d15genomes
18,25477882,19,Dere.d15genomes
19,17419488,20,Dere.d15genomes
20,17419488,21,Dere.d15genomes
21,17419488,22,Dere.d15genomes
22,17419488,23,Dere.d15genomes
23,17419488,24,Dere.d15genomes
24,17419488,25,Dere.d15genomes
25,17419488,26,Dere.d15genomes
26,17419488,27,Dere.d15genomes
27,17419488,28,Dere.d15genomes
28,17419488,29,Dere.d15genomes
29,17419488,30,Dere.d15genomes
30,17419488,31,Dere.d15genomes
31,17419488,32,Dere.d15genomes
32,17170433,33,Dere.d15genomes
33,17170433,34,Dere.d15genomes
34,17170433,35,Dere.d15genomes
35,17170433,36,Dere.d15genomes
36,17170433,37,Dere.d15genomes
37,17170433,38,Dere.d15genomes
38,17170433,39,Dere.d15genomes
39,17170433,40,Dere.d15genomes
40,17170433,41,Dere.d15genomes
41,17170433,42,Dere.d15genomes
42,17170433,43,Dere.d15genomes
43,17170433,44,Dere.d15genomes
44,17170433,45,Dere.d15genomes
45,17170433,46,Dere.d15genomes
46,16960765,47,Dere.d15genomes
47,16960765,48,Dere.d15genomes
48,16960765,49,Dere.d15genomes
49,16960765,50,Dere.d15genomes
50,16960765,51,Dere.d15genomes
51,16960765,52,Dere.d15genomes
52,16960765,53,Dere.d15genomes
53,16960765,54,Dere.d15genomes
54,16960765,55,Dere.d15genomes
55,16960765,56,Dere.d15genomes
56,16960765,57,Dere.d15genomes
57,16960765,58,Dere.d15genomes
58,16960765,59,Dere.d15genomes
59,6080862,60,Dere.d15genomes
60,6080862,61,Dere.d15genomes
61,6080862,62,Dere.d15genomes
62,6080862,63,Dere.d15genomes
63,5562875,64,Dere.d15genomes
64,5562875,65,Dere.d15genomes
65,5562875,66,Dere.d15genomes
66,5562875,67,Dere.d15genomes
67,5562875,68,Dere.d15genomes
68,5236429,69,Dere.d15genomes
69,5236429,70,Dere.d15genomes
70,5236429,71,Dere.d15genomes
71,5236429,72,Dere.d15genomes
72,3939565,73,Dere.d15genomes
73,3939565,74,Dere.d15genomes
74,3939565,75,Dere.d15genomes
75,3517730,76,Dere.d15genomes
76,3517730,77,Dere.d15genomes
77,3272788,78,Dere.d15genomes
78,3272788,79,Dere.d15genomes
79,3272788,80,Dere.d15genomes
80,3191679,81,Dere.d15genomes
81,3191679,82,Dere.d15genomes
82,2945677,83,Dere.d15genomes
83,2945677,84,Dere.d15genomes
84,2945677,85,Dere.d15genomes
85,2868400,86,Dere.d15genomes
86,2868400,87,Dere.d15genomes
87,2664639,88,Dere.d15genomes
88,2664639,89,Dere.d15genomes
89,2488902,90,Dere.d15genomes
90,2488902,91,Dere.d15genomes
91,1928194,92,Dere.d15genomes
92,1469150,93,Dere.d15genomes
93,1162050,94,Dere.d15genomes
94,1074990,95,Dere.d15genomes
95,1033589,96,Dere.d15genomes
96,1021133,97,Dere.d15genomes
97,669139,98,Dere.d15genomes
98,113543,99,Dere.d15genomes
99,3645,100,Dere.d15genomes
0,25589241,1,Dsuz.GCF_013340165
1,25589241,2,Dsuz.GCF_013340165
2,25589241,3,Dsuz.GCF_013340165
3,25589241,4,Dsuz.GCF_013340165
4,25589241,5,Dsuz.GCF_013340165
5,25589241,6,Dsuz.GCF_013340165
6,25589241,7,Dsuz.GCF_013340165
7,25589241,8,Dsuz.GCF_013340165
8,25589241,9,Dsuz.GCF_013340165
9,24550668,10,Dsuz.GCF_013340165
10,24550668,11,Dsuz.GCF_013340165
11,24550668,12,Dsuz.GCF_013340165
12,24550668,13,Dsuz.GCF_013340165
13,24550668,14,Dsuz.GCF_013340165
14,24550668,15,Dsuz.GCF_013340165
15,24550668,16,Dsuz.GCF_013340165
16,24550668,17,Dsuz.GCF_013340165
17,24550668,18,Dsuz.GCF_013340165
18,14656957,19,Dsuz.GCF_013340165
19,14656957,20,Dsuz.GCF_013340165
20,14656957,21,Dsuz.GCF_013340165
21,14656957,22,Dsuz.GCF_013340165
22,14656957,23,Dsuz.GCF_013340165
23,14656957,24,Dsuz.GCF_013340165
24,13739618,25,Dsuz.GCF_013340165
25,13739618,26,Dsuz.GCF_013340165
26,13739618,27,Dsuz.GCF_013340165
27,13739618,28,Dsuz.GCF_013340165
28,13739618,29,Dsuz.GCF_013340165
29,9130409,30,Dsuz.GCF_013340165
30,9130409,31,Dsuz.GCF_013340165
31,9130409,32,Dsuz.GCF_013340165
32,6689929,33,Dsuz.GCF_013340165
33,6689929,34,Dsuz.GCF_013340165
34,6689929,35,Dsuz.GCF_013340165
35,6492416,36,Dsuz.GCF_013340165
36,6492416,37,Dsuz.GCF_013340165
37,6194228,38,Dsuz.GCF_013340165
38,6194228,39,Dsuz.GCF_013340165
39,5179314,40,Dsuz.GCF_013340165
40,5179314,41,Dsuz.GCF_013340165
41,4075554,42,Dsuz.GCF_013340165
42,4075554,43,Dsuz.GCF_013340165
43,3772065,44,Dsuz.GCF_013340165
44,3708374,45,Dsuz.GCF_013340165
45,3708374,46,Dsuz.GCF_013340165
46,3397172,47,Dsuz.GCF_013340165
47,3346522,48,Dsuz.GCF_013340165
48,2783430,49,Dsuz.GCF_013340165
49,2609782,50,Dsuz.GCF_013340165
50,2568912,51,Dsuz.GCF_013340165
51,2387461,52,Dsuz.GCF_013340165
52,2338044,53,Dsuz.GCF_013340165
53,2189345,54,Dsuz.GCF_013340165
54,2102032,55,Dsuz.GCF_013340165
55,1989432,56,Dsuz.GCF_013340165
56,1921331,57,Dsuz.GCF_013340165
57,1843208,58,Dsuz.GCF_013340165
58,1833005,59,Dsuz.GCF_013340165
59,1721663,60,Dsuz.GCF_013340165
60,1700514,61,Dsuz.GCF_013340165
61,1669125,62,Dsuz.GCF_013340165
62,1609687,63,Dsuz.GCF_013340165
63,1486833,64,Dsuz.GCF_013340165
64,1474060,65,Dsuz.GCF_013340165
65,1356072,66,Dsuz.GCF_013340165
66,1276832,67,Dsuz.GCF_013340165
67,1219375,68,Dsuz.GCF_013340165
68,1195625,69,Dsuz.GCF_013340165
69,1170890,70,Dsuz.GCF_013340165
70,1085117,71,Dsuz.GCF_013340165
71,1030225,72,Dsuz.GCF_013340165
72,977254,73,Dsuz.GCF_013340165
73,946277,74,Dsuz.GCF_013340165
74,894058,75,Dsuz.GCF_013340165
75,856551,76,Dsuz.GCF_013340165
76,796615,77,Dsuz.GCF_013340165
77,779541,78,Dsuz.GCF_013340165
78,733197,79,Dsuz.GCF_013340165
79,675933,80,Dsuz.GCF_013340165
80,646049,81,Dsuz.GCF_013340165
81,613795,82,Dsuz.GCF_013340165
82,565747,83,Dsuz.GCF_013340165
83,531705,84,Dsuz.GCF_013340165
84,471589,85,Dsuz.GCF_013340165
85,445021,86,Dsuz.GCF_013340165
86,414510,87,Dsuz.GCF_013340165
87,361239,88,Dsuz.GCF_013340165
88,331247,89,Dsuz.GCF_013340165
89,268192,90,Dsuz.GCF_013340165
90,234670,91,Dsuz.GCF_013340165
91,183327,92,Dsuz.GCF_013340165
92,155874,93,Dsuz.GCF_013340165
93,121135,94,Dsuz.GCF_013340165
94,94865,95,Dsuz.GCF_013340165
95,76305,96,Dsuz.GCF_013340165
96,52982,97,Dsuz.GCF_013340165
97,39038,98,Dsuz.GCF_013340165
98,30191,99,Dsuz.GCF_013340165
99,6080,100,Dsuz.GCF_013340165
0,32100711,1,Dtei.GCF_016746235
1,32100711,2,Dtei.GCF_016746235
2,32100711,3,Dtei.GCF_016746235
3,32100711,4,Dtei.GCF_016746235
4,32100711,5,Dtei.GCF_016746235
5,32100711,6,Dtei.GCF_016746235
6,32100711,7,Dtei.GCF_016746235
7,32100711,8,Dtei.GCF_016746235
8,32100711,9,Dtei.GCF_016746235
9,32100711,10,Dtei.GCF_016746235
10,32100711,11,Dtei.GCF_016746235
11,32100711,12,Dtei.GCF_016746235
12,32100711,13,Dtei.GCF_016746235
13,32100711,14,Dtei.GCF_016746235
14,32100711,15,Dtei.GCF_016746235
15,32100711,16,Dtei.GCF_016746235
16,32100711,17,Dtei.GCF_016746235
17,32100711,18,Dtei.GCF_016746235
18,32100711,19,Dtei.GCF_016746235
19,32100711,20,Dtei.GCF_016746235
20,32100711,21,Dtei.GCF_016746235
21,28277466,22,Dtei.GCF_016746235
22,28277466,23,Dtei.GCF_016746235
23,28277466,24,Dtei.GCF_016746235
24,28277466,25,Dtei.GCF_016746235
25,28277466,26,Dtei.GCF_016746235
26,28277466,27,Dtei.GCF_016746235
27,28277466,28,Dtei.GCF_016746235
28,28277466,29,Dtei.GCF_016746235
29,28277466,30,Dtei.GCF_016746235
30,28277466,31,Dtei.GCF_016746235
31,28277466,32,Dtei.GCF_016746235
32,28277466,33,Dtei.GCF_016746235
33,28277466,34,Dtei.GCF_016746235
34,28277466,35,Dtei.GCF_016746235
35,28277466,36,Dtei.GCF_016746235
36,28277466,37,Dtei.GCF_016746235
37,28277466,38,Dtei.GCF_016746235
38,28277466,39,Dtei.GCF_016746235
39,28277466,40,Dtei.GCF_016746235
